category,stimulus
Sciences, Astronomie
Sciences, Mathématiques
Sciences, Chimie
Sciences, Physique
Sciences, Biologie
Sciences, Géologie
Sciences, Ingénierie
Arts & Littérature, Italien
Arts & Littérature, Arts
Arts & Littérature, Lettres
Arts & Littérature, Anglais
Arts & Littérature, Philosophie
Arts & Littérature, Musique
Arts & Littérature, Littérature
Masculin,homme
Masculin, fils
Masculin, père
Masculin, garçon
Masculin, oncle
Masculin, grand-père
Masculin, mari
Féminin, mère
Féminin, épouse
Féminin, tante
Féminin, femme
Féminin, petite-fille
Féminin, grand-mère
Féminin, fille
